Inst,citingDOI,CR,citedDOI,title,journal_book,date,issn1,issn1Type,issn2,issn2Type,isbn
Houston,10.1080/00206814.2016.1214087,"[??? Chen Yulu], 2002, [??????, Journal of geomechanics], V8, P43",nan,nan,Journal of geomechanics],nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.gloplacha.2017.07.011,"[??? Ding Yongjian], 2013, [??????, Advance in Earth Sciences], V28, P1067",nan,nan,Advance in Earth Sciences],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"[??? Gao Xuejie], 2003, [????, Plateau Meteorology], V22, P458",nan,nan,Plateau Meteorology],nan,nan,nan,nan,nan,nan
Houston,10.1080/00206814.2016.1214087,"[??? HOU KeJun], 2009, [????, Mineral Deposits], V28, P481",nan,nan,Mineral Deposits],nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.gloplacha.2017.07.011,"[??? KANG Ersi], 2008, [??????, Advance in Earth Sciences], V23, P675",nan,nan,Advance in Earth Sciences],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/ppp.1754,"[??? LIN Zhan-ju], 2009, [????, Journal of Glaciology and Geocryology], V31, P1127",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/ppp.1754,"[??? Lin Zhanju], 2010, [????, Journal of Glaciology and Geocryology], V32, P341",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"[??? Liu Shiyin], 2005, [????, Journal of Glaciology and Geocryology], V27, P55",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
Houston,10.1080/00206814.2016.1214087,"[??? Ma Guolin], 2010, [???????, Acta Petrologica et Mineralogica], V29, P525",nan,nan,Acta Petrologica et Mineralogica],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/ppp.1754,"[??? Niu Fujun], 2002, [????, Journal of Glaciology and Geocryology], V24, P264",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"[??? SHANG Kezheng], 2006, [??????. ?????, Journal of Lanzhou University. Natural Science], V42, P27",nan,nan,Journal of Lanzhou University. Natural Science],nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.jag.2011.12.002,"[??? Tang Maocang], 2003, [????, Plateau Meteorology], V22, P440",nan,nan,Plateau Meteorology],nan,nan,nan,nan,nan,nan
Houston,10.1080/00206814.2016.1214087,"[??? WANG Chun-ying], 2009, [????, Geological Bulletin of China], V28, P585",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"[??? Wang Ninglian], 2006, [?????, Quaternary Sciences], V26, P165",nan,nan,Quaternary Sciences],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"[??? Wang Ninglian], 2006, [?????, Quaternary Sciences], V26, P752",nan,nan,Quaternary Sciences],nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.gloplacha.2017.07.011,"[??? Wang Qingfeng], 2013, [????, Journal of Glaciology and Geocryology], V35, P19",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
