Author,Year,Title
Idriss IM,2008,MNO12 EERI
Idriss IM,2008,MNO12 EERI
IEC,2005,614001 IEC
IGOS,2007,WMOTDNO1405 IGOS
Iguchi T.,2010,GPM DPR LEVEL 2 ALGO
IHINGER PD,1994,REV MINERAL
IHO,2008,STAND UND FEAT NAM G
IIAMES JS,2006,GLOB VEG WORKSH MISS
IIASA FAO,2012,GLOB AGR ZON GAEZ V3
Ikeda Y.,1997,ANTARCTIC METEORITE
Iken A,1977,Z GLETSCHERKUNDE GLA
Il'ina I.S.,1985,RASTITELNYI POKROV Z
ILYUSHIN GD,1981,SOV PHYS DOKL
IMBERT P.,2005,PERKINS RES C P
IMO (International Maritime Organization),2014,3 IMO GREENH GAS STU
Inamdar S,2011,Journal of Geophysical Research -BIOGEO
INEGI,2010,I NAC EST GEOGR INF
Ingebritsen S,2006,GROUNDWATER GEOLOGIC
Ingebritsen S.,2006,GROUNDWATER GEOLOGIC
Ingelman G.,1996,HEPPH9604286 ARXIV
Ingeman-Nielsen T.,2008,P 9 INT C PERM I NO
Ingersoll R. V.,1995,TECTONICS SEDIMENTAR
INGERSOLL RV,1984,J SEDIMENT PETROL
Ingle J.C. Jr,1980,Cushman Foundation for Foraminiferal Research Special Publication
INGLE JAMES C.,1967,BULL AMER PALEONTOL
Ingle Jr J.C.,1980,QUATERNARY DEPOSITIO
Ingleby B.,2017,807 ECMWF
Ingol-Blanco E.,2011,P WORLD ENV WAT RES
INGOLFSSON O,1990,BOREAS
Ingraham NL,1998,ISOTOPE TRACERS IN CATCHMENT HYDROLOGY
INGRAM BL,1993,EARTH PLANET SC LETT
INGV,2000,DOM4 1 DAT OSS MACR
INGV,2004,TERR 24 NOV 2004 OR
INGV,2012,TERR PAIN PAD EM 29
Inman K. F,1987,ARIZONA GEOLOGICAL S
Inness A.,2013,Atmospheric Chemistry and Physics
Inoue J.,2007,J ATMOSPHERIC OCEANI
Inskipp C.,1999,BIRDS OF BHUTAN
Instituto Nacional de Pesquisas Especias,2013,MON BRAZ AM FOR SAT
Intergovernmental Panel on Climate Change,2013,5 IPCC
Intergovernmental Panel on Climate Change,2007,REP WORK GROUP 1 INT
Intergovernmental Panel on Climate Change (IPCC),2013,CLIM CHANG 2013 PHYS
International Association for Public Participation,2007,IAP2 SPECTR PUBL PAR
International Center for Diffraction Data,2012,PDF 4 MIN
International Code Council (ICC),2011,INT EX BUILD COD
International Conference of Building Officials (ICBO),1997,UN BUILD COD
International Energy Agency (IEA),2008,WORLD EN OUTL 2008
International Federation of Red Cross and Red Crescent Societies,2001,17 INT FED RED CROSS
International Hydrographic Organization,1953,SPECIAL PUBLICATION
International Panel on Climate Change,2012,MAN RISKS EXTR EV DI
International Seismological Centre,2011,ON LIN B
International Union for Conservation of Nature (IUCN),2013,IUCN RED LIST THREAT
International Union of Soil Sciences (IUSS) Working Group WRB,2006,FAO WORLD SOIL RES R
InternationalWater Association (IWA),HIST ACT SLUDG,
Ioffe Sergey,2015,BATCH NORMALIZATION
Ip J.,2009,5 ANN S FUT OP ENV S
Ip J.,2009,P 5 ANN S FUT OP ENV
IPCC,2013,5 IPCC
IPCC,2007,CLIM CHANG 2007 AR4
IPCC,2007,CLIM CHANG 2007 IMP
IPCC,2007,CLIM CHANG 2007 MIT
IPCC,2007,CLIM CHANG 2007 PHYS
IPCC,2007,CLIM CHANG 2007 PHYS
IPCC,2007,CLIM CHANG 2007 PHYS
ipcc,2014,CLIM CHANG 2014 AD A
IPCC,2013,CLIM CHANG PHYS SCI
IPCC,1996,CLIMATE CHANGE 1995
IPCC,2013,CLIMATE CHANGE 2013
IPCC,2001,GOOD PRACTICE GUIDAN
IPCC,2000,IPCC SPEC REP EM SCE
IPCC,2013,WORKING GROUP 1 CONT
IPCC (Intergovernmental Panel on Climate Change,2013,CLIM CHANG 2013 PHYS
IPCC (Intergovernmental Panel on Climate Change,2013,CLIM CHANG 2013 PHYS
IPCC (Intergovernmental Panel on Climate Change),2013,PHYS SCI BASIS CONTR
IPCC (Intergovernmental Panel on Climate Change) 2006,2006,2006 IPCC GUID NAT G
IPCC (International Panel on Climate Change),2007,SCI BAS CONTR WORK G
IPCC Climaie Change,2011,IPCC CLIM CHANG 2014
Irace A,2009,GEOLOGIA IDROSTRATIG
Ireland T,2004,ECON GEOL
Irving A. J.,2009,40 LUN PLAN SCI C
Irving A. J.,2011,74 ANN MET SOC M
Irwin PGJ,2009,S-P B ASTRON PLANET
Isa J,2012,LUNAR PLANET SCI
Isa J,2008,METEORIT PLANET SCI
Isa M,2011,LUNAR PLANET SCI
Isaksen L.,2010,636 ECMWF
Ishido T.,1981,J GEOTHERM RES SOC J
Ishido T.,1989,LECT NOTES EARTH SCI
Ishido T.,1996,P 21 WORKSH GEOTH RE
Ishido T.,2000,P WORLD GEOTH C
Ishihara K.,1985,P 11 ICSMGE
Ishihara K.,1996,SOIL BEHAV EARTHQUAK
Ishihara K.,2006,SOKKO JIHO
Ishii T,1975,MINERALOG J JAPAN
Ishii Y,1988,P 9 WORLD C EARTHQ E
Ishizaki K.,1943,Transactions of the Natural History Society of Formosa
Ishizaki K.,1944,Transactions of the Natural History Society of Formosa
Itasca,2011,FLAC FAST LAGR AN CO
Itasca,2008,FLAC VERS 6 0
Itasca,2006,FLAC3D FAST LAGR AN
Itasca Consulting Group Inc,2011,FAST LAGR AN CONT VE
Itasca Consulting Group Inc,2014,PFC PART FLOW COD VE
ITT,VIS INF SOL ENVI SOF,
ITU,1994,X200 ITU
IUSS Working Group WRB,2006,WORLD SOIL RES REP
Ivanenkov V.N.,1978,METHODS HYDROCHEMICA
Ivanov AY,2002,P INDIAN AS-EARTH
Ivanov B. A.,2001,P ISSI WORKSH 10 14
Ivanova MA,2000,METEORIT PLANET SCI
IVERSON NR,1991,J GLACIOL
Ives J.,1974,ARCTIC ALPINE ENV
Ives JD,1971,J GLACIOL
Ives JD,1971,J GLACIOL
Ivins B. L.,1984,THESIS U WISCONSIN M
Ivy-Ochs S,1998,SCHWEIZ MINER PETROG
IvyOchs S,1996,ECLOGAE GEOL HELV
IWAN WD,1994,P 10 EUR C EARTHQ EN
Iwasaki Y.,2017,AGU Fall Meeting
Iyemori T,1992,MIDLATITUDE GEOMAGNE
Izbicki J.,2012,ANN ENV SCI
Izzo F.,2015,P 1 INT C METR ARCH
Jachens E. R.,2012,26 INT LAS RAD C INT
Jackofsky D.,1999,GSA ABSTR PROGR
JACKSON A,1993,GEOPH MONOG SERIES
Jackson A.,2015,TREATISE GEOPHYS
Jackson C. I. J.,1959,OPERATION HAZEN METE
Jackson C. R.,2004,SYNTHETIC APERTURE R
Jackson D. B.,1982,82127 US GEOL SURV
Jackson D. B.,1972,Journal of Geophysical Research
Jackson D. B.,1987,USGS PROFESSIONAL PAPER
JACKSON GA,1989,EOS
Jackson J D,1999,CLASSICAL ELECTRODYN
Jackson J.,2002,GSA TODAY
Jackson J.,2001,J EARTHQ ENG
Jackson M. P. A.,1984,ATLAS SALT DOMES E T
Jackson M. P. A.,2008,SALT TECTONICS GLOBA
Jackson M.L.,2005,SOIL CHEM ANAL ADV C
Jacobs C.M.J.,1999,TELLUS B
Jacobs DK,2011,619A SO CAL COAST WA
Jacobs E. W.,1984,SERITP2142587
Jacobs J. A.,1987,GEOMAGNETISM
JACOBSON AR,1993,ANN GEOPHYS
JACOBSON AR,1992,ASTRON ASTROPHYS
Jacobson M.,2013,Proceedings of the 13th North American Agroforestry Conference
Jacobson M.Z.,2002,ATMOSPHERIC POLLUTIO
Jacobson R. A.,2013,JUP310 ORBIT SOLUTIO
Jacobson R.A.,2003,JUP230 ORBIT SOLUTIO
JACOBSON SR,1988,AAPG Bulletin
Jacques-Ayala C,1999,REV MEXICANA CIENCIA
Jaeckle William B.,1995,P49
Jaeger J. C.,1986,HEAT CONDUCTION SOLI
JAEGER JC,1968,BASALT POLDERVAART
Jafari M,2012,J FOOD AGRIC ENVIRON
Jaffe J.,2008,0807 BELF CTR SCI IN
Jagger J.,1985,SOLAR UV ACTIONS LIV
Jahn A.,2016,GEOPHYS RES LETT
Jahren A. Hope,2013,Irish Journal of Earth Sciences
JAIN SL,1983,[No title captured]
JAIN SL,1983,PALAEONTOLOGY
JAIN SL,1983,PALAEONTOLOGY
Jain T. B.,2004,BARK BEETLES FUELS F
Jalayer F.,2003,THESIS
Jamali S,2011,34 INT S REM SENS EN
Jambon A,2012,LUNAR PLANET SCI
James CS,2001,P I CIVIL ENG-WATER
James G.,1990,TECHNICAL APPENDIX F
JAMES N P,1984,FACIES MODELS
Jamiolkowski M.,2001,SOIL BEHAV SOFT GROU
Janis C.M.,1988,Memoires du Museum National d'Histoire Naturelle Serie C Sciences de la Terre
Janji Z. I.,2002,NCEP OFFICE NOTE
Janjic Z.,2002,NCEP OFFICE NOTE
Janjic Z. I.,1996,11 C NUM WEATH PRED
Jankovic S,2004,P 13 WORLD C EARTHQ
Jansen E,2007,CLIMATE CHANGE 2007: THE PHYSICAL SCIENCE BASIS
Jansen E,2007,CLIMATE CHANGE 2007: THE PHYSICAL SCIENCE BASIS
Janssen N.,2012,HLTH EFFECTS BLACK C
Janssens-Maenhout G.,2012,GREENHOUSE GAS EMISS
JANSSON PE,2001,3087 TRITAAMI R I TE
Janzen D. H.,1974,BIOTROPICA
Japan Coast Guard,2011,REP COORD COMM EARTH
Japan Coast Guard,2012,REP COORD COMM EARTH
Japanese Society of Civil Engineers,2000,DYN AN EARTHQ RES DE
Jaquet O.,2013,GROUNDWATER FLOW MOD
Jarke J.,1961,Meyniana
JAROSEWICH E,1987,SMITHSONIAN CONTRIBU
Jarrett A,2016,ANN GEOSC EXPL SEM A
Jarvinen B. R.,1984,NHC22 NOAANWSNHC
Jarvis A.,2008,EOS T AGU
Jarvis A.,2008,HOLE FILLED SEAMLESS
Jarvis A.,2008,HOLE FILLED SRTM GLO
Jarvis P. G.,1985,The forest-atmosphere interaction. Proceedings of the forest environmental measurements conference held at Oak Ridge
Jault D.,2015,TREATISE GEOPHYS COR
Jault D.,2015,TREATISE GEOPHYS COR
Jaupart C.,2011,HEAT GENERATION TRAN
JAVOR B,1989,[No title captured]
Jaynes Edwin T,2003,PROBABILITY THEORY L
Jaynes Edwin T,2003,PROBABILITY THEORY L
Jefferson A.,2011,AEROSOL OBSERVING SY
Jeffery P.G.,1986,CHEM METHODS ROCK AN
Jeffrey A.,1989,WAVES STABILITY CONT
Jeffries M. O.,2015,ARCTIC REPORT CARD 2
Jeffries M. O.,2012,SATELLITE IMAGE ATLA
Jeffries MO,1996,ARCTIC
Jenk TM,2006,Atmospheric Chemistry and Physics
Jenkins A.,2007,P IEEE WIR COMM NETW
Jenkins C,2008,MARINE SUBSTRATES GE
JENKINS D. G.,1971,PALAEONTOLOGICAL B
Jenkins D.G.,1985,P263
JENKINS DG,1967,NEW ZEAL J GEOL GEOP
Jenkins JC,2003,FOREST SCI
Jenkins JC,2003,FOREST SCI
JENNINGS JR,1983,AM J BOT
Jensen A.S.,1905,MEDDELELSER GRONLAND
Jensen EF,2007,THESIS
JENSEN ES,2002,[No title captured]
Jensen F. S.,1954,OIL GAS FIELDS COLOR
Jensen J. R.,1993,PHOTOGRAMM ENG REMOT
Jensen J.J.,2007,P INT C ADV MAR STRU
Jensen J.R.,2000,REMOTE SENSING ENV E
JENSEN JL,1997,STAT PETROLEUM ENG G
Jensen Tara,2018,2018 CCMC WORKSH COL
Jenson S. K.,1988,PHOTOGRAMM ENG REMOT
JENSON SK,1988,PHOTOGRAMM ENG REM S
Jepson Willis Linn,2000,Madrono
Jesse O.,1885,METEOROL Z
JETON AE,1996,[No title captured]
Jetter R.,2006,BIOL PLANT CUTICLE
JEWELL RA,1996,[No title captured]
Jewett DG,2004,SCI PRAC ECOL REST
Jezek K,1979,J GLACIOL
JEZEK KC,2002,[No title captured]
JGOFS,1996,19 JGOFS
Ji C.,2003,Journal of Geophysical Research SOLID
JI SC,1988,TECTONOPHYSICS
JI W T,2007,ANN GIS
Jia X.,2014,LANDESLIDE SCI SAFER
JIANG C,1992,OPENING CLOSING TECT
Jiang DH,2008,ACTA PETROL SIN
Jiang RB,2008,CHINESE J GEOPHYS-CH
Jiang S.,2014,LANDESLIDE SCI SAFER
Jiang SC,1998,APPL ENVIRON MICROB
Jiang X.,2014,LANDESLIDE SCI SAFER
Jiang Y.,2014,PROC 2014 AWWA ANNUA
Jiang YH,2000,Acta Geoscientia Sinica
Jiarig F.,2013,THESIS U CALIFORNIA
Jimenez B,2008,SCI TECH REP SER
Jimenez B,2008,SCI TECH REP SER
Jimenez CC,2005,J SOIL WATER CONSERV
Jin H.,2013,UNC RES TECHN C DENV
Jin JM,1999,HYDROL PROCESS
Jin L,2015,GEOL B CHINA
Jin M.,2011,PROG ELECTROMAGN RES
Jin R.,2011,Journal of Geophysical Research UNPUB
Jin WJ,2005,ACTA PETROL SIN
Jockel P.,2003,IGACTIVITIES NEWSL
Joensen S.,2007,P PRADS 2007 HOUST O
Johansen A.,2004,THESIS
Johansen TA,2004,GEOPHYS PROSPECT
John VO,2009,GEOPHYS RES LETT
Johnsen S. J.,2000,PHYS ICE CORE RECORD
JOHNSEN SJ,1977,[No title captured]
Johnson B.A.,2009,LOCALIZED TREATMENT
Johnson C. E.,2010,CRICP20072012 DECC D
Johnson C.L.,2002,GEOSCI WIS
Johnson D.W.,1919,SHORE PROCESSES SHOR
Johnson DW,1999,TREE PHYSIOL
Johnson E.,2006,R20608 USDA FOR SERV
Johnson G. A.,2000,ELECTRON LETT
Johnson G. C.,2012,Bulletin of the American Meteorological Society
Johnson G. C.,2014,Bulletin of the American Meteorological Society
Johnson J. B.,2007,75 ANN W SNOW C
Johnson J. D.,1989,MILWAUKEE PUBLIC MUS
JOHNSON JS,1969,6945 UCLA SCH ENG AP
JOHNSON LA,2014,THE MW 6 0 S NAPA EA
Johnson M.,2013,RIM FIREPRELIMINARY
Johnson ML,1998,G G
JOHNSON MW,1967,SIAM REV
Johnson R. B.,1958,COLORADO GEOL SURV B
Johnson R. C.,2005,PETROLEUM SYSTEMS GE
Johnson R. E.,2009,EUROPA
Johnson RE,2004,CAMB PLANET
Johnson RG,2001,COMMERCIAL OBSERVATION SATELLITES: AT THE LEADING EDGE OF GLOBAL TRANSPARENCY
Johnson RL,1981,ACS SYM SER
Johnston GH,1966,NATURE
Johnston K,2001,USING ARCGISTM GEOST
Johnston R.,2012,NILE RIVER BASIN WAT
Johnston TL,1957,2716 U CAL I ENG RES
JOHNSTON WR,1997,MANAGEMENT AGR DRAIN
Jol HM,1996,J COASTAL RES
Jolliffe I.T.,2012,FORECAST VERIFICATIO
Jolliffe IT,2003,FORECAST VERIFICATIO
Jolly D,2002,EARTH IS FASTER NOW
Jones A,2013,63 BROOK I
JONES B,1992,J COASTAL RES
JONES B,1987,J SEDIMENT PETROL
JONES B,1995,J SEDIMENT RES A
Jones BH,1998,CALIFORNIA AND THE WORLD OCEAN '97 - TAKING A LOOK AT CALIFORNIA'S OCEAN RESOURCES: AN AGENDA FOR THE FUTURE
Jones E,2001,SCIPY OPEN SOURCE SC
Jones E.,2008,OFFSH TECHN C
Jones E.,2010,OFFSH TECHN C
Jones H. S.,1955,SUNSPOT GEOMAGNETIC
Jones M. L.,1979,SUSPENDED BEDLOAD SE
Jones PD,2003,GEOPHYS MONGRAPH
JONES R W,1984,Revista Espanola de Micropaleontologia
JONES RW,1994,CHALLENGER FORAMINIF
Jones T. D.,1983,THESIS
Jones W,1984,4 S TURB SHEAR FLOWS
Jones WE,2004,GULF COAST ASS GEOL
JONG ED,1972,SOIL SCI
Jonkman J,2009,NRELTP50038060
Jopling A.V.,1966,SEPM J SEDIMENT RES
Jordan A,2011,ENCY AGROPHYSICS
Jordan D.S.,1896,B US NAT MUS
Jordan E,2014,INT J MASS EMERG DIS
Jordan E,2013,PATHWAYS COMMUNITY R
Jordan GJ,1997,BOT J LINN SOC
JORDAN R,1991,[No title captured]
JORDAN RE,1991,9116 US ARM CORPS EN
Jordan T. H.,1988,J PETROL
JORDAN TH,1981,Bulletin of the Seismological Society of America
JORDAN TH,1981,Bulletin of the Seismological Society of America
JORDAN TH,1981,Bulletin of the Seismological Society of America
Jorgensen A.M.,1999,Journal of Geophysical Research
Jorgensen B. B.,1983,SCOPE 21 MAJOR BIOGE
JORGENSEN BB,1978,GEOMICROBIOL J
JOrgensen S. E.,2010,GLOBAL ECOLOGY DERIV
Joseph A.,2010,INSIDEGNSS
Joss J.,1970,14 C RAD MET TUCS AZ
Jourdan F,2003,GEOPH MONOG SERIES
Joyce S.,2010,R0924 SKB
JOYNER WB,1981,Bulletin of the Seismological Society of America
Ju-Jiang H,2000,EARTHQ ENG ENG SEISM
JUDD A.,2007,SEABED FLUID FLOW IM
Judd A.,2007,SEABED FLUID FLOW IM
JUDGE AS,1991,ARCTIC
Juggins S.,2007,USER GUIDE C2 SOFTWA
Juggins Steve,2012,P431
Juilleret J.,2005,P 2 INT C SANDST LAN
Julien P. Y.,1995,EROSION SEDIMENTATIO
JUNE FC,1971,FISH BULL NATL OC AT
Jung S.,2002,THESIS
Junge CE,1963,MONOGRAPH INT UNION
Jungnickel D.,2013,GRAPHS NETWORKS ALGO
JURECA Julich Supercomputing Centre,2016,J LARGE SCALE RES FA
Juvik SP,1998,ATLAS HAWAII
KAASCHIETER J. P. H.,1961,MEMOIRES I ROYAL SCI
Kabalov YK,2000,Z KRISTALLOGR
KACHEL NB,1986,CANADIAN SOC PETROLE
KACHEL NB,1989,COASTAL OCEANOGRAPHY
Kadlec RH,2009,TREATMENT WETLANDS
Kaercher P.M.,2014,American Mineralogist
Kaffka S,2016,EVALUATION DAIRY MAN
Kahmen A,2007,TERR ECOL SER
Kahn B,2017,WILDFIRE BURNS FORME
Kahn D.,2014,CLIMATE WIRE
Kahn E. G.,2011,LUNA PLAN SCI C 42
KAHN Robert E.,2006,J TELECOMMUNICATIONS
KAIHO K,1984,Science Reports of the Tohoku University Second Series (Geology)
KAIMAL JC,1972,Q J ROY METEOR SOC
KAIN JS,1993,METEOR MON
Kain JS,2008,WEATHER FORECAST
Kaipio J.,2004,APPL MATH SCI
Kaiser J.,2016,Atmospheric Chemistry and Physics Discussion
KAISER JF,1966,[No title captured]
KAISER T. M.,2010,MITTEILUNGEN HAMBURG
Kaiser T.M.,1997,THESIS TH DARMSTADT
KALESNIK SV,1963,OCHERKI GLYASIOLOGII
Kalinske A. A.,1943,B U IOWA STUDIES ENG
Kallemeyn G.W.,1996,LUNAR PLANET SCI
Kalnay E.,2003,ATMOSPHERIC MODELING
Kamash Zena,2010,ARCHAEOLOGIES WATER
KAMATANI A,1969,Journal of the Oceanographical Society of Japan
KAMINSKI M. A.,2005,GRZYBOWSKI FDN SPECI
KAMINSKY GM,1999,J COASTAL RES SI
KAMINSKY GM,2001,P 27 INT C COAST ENG
KAMINSKY GM,2003,P COAST SED 03 E MEE
KAMINSKY GM,2007,P COAST SED 07 ASCE
KAMINSKY GM,1999,P COAST SED 99 ASCE
Kammerer A.,2000,CYCLIC SIMPLE SHEAR
Kammerer A.M.,2004,P 13 WORLD C EARTHQ
KAMMERER AM,2000,UCBGT0001
Kamphus M.,2009,CHEM PHYS
KANAMORI H,2000,AGU GEOPHYS MONOGR
Kanamori H.,1981,Earthquake Prediction. An International Review. Symposium on Earthquake Prediction
Kanayama K.,2013,NEW GEO CHEM CLASSIF
Kanazhevskii VV,2001,MENDELEEV COMMUN
Kane R P,2009,Indian Journal of Radio & Space Physics
Kanekal S,2014,P AIAA USU C SMALL S
Kanekal S. G,2003,ISEC 2003 RAD BELT S
Kanekal S. G,2006,P ILWS WORKSH SOL IN
Kanekal S. G.,2016,J GEOPHYS R IN PRESS
Kang K.,2013,2013 FALL M 9 13 DEC
Kanmacher F.,1798,ADAMS ESSAYS MICROSC
Kanninen M.,2010,ECOSYSTEM GOODS SERV
Kansky Karel Joseph,1963,STRUCTURE TRANSPORTA
Kantoush S.,2010,RIVER MORPHOLOGY S B
Kaplan A.,2011,Bulletin of the American Meteorological Society
Kaplan E.D,2005,UNDERSTANDING GPS PR
KAPLAN EL,1958,J AM STAT ASSOC
KAPLAN L. A,2003,AQUATIC ECOSYSTEMS I
Kaplan L. A.,2002,EVALUATION SOURCES P
Kapp P,2000,GEOLOGY
Kapp P,2000,GEOLOGY
Karacabeyli E.,1998,FPS P 49 ANN M PORTL
Karanfil T.,2007,EXPLORING HAA FORMAT
Karanfil T.,2011,FORMATION OF HALONIT
KARATO S,1989,RHEOLOGY SOLIDS EART
Karato SI,2008,DEFORMATION OF EARTH MATERIALS: AN INTRODUCTION TO THE RHEOLOGY OF SOLID EARTH
Karatutlu A,2018,ECOL MONOGR
Kargel JS,1998,ASTROPHYS SPACE SC L
Kargel JS,2004,NATURE
Karimi Z,2016,GEOTECH GEOENVIRON E
Karimi Z,2016,ICONHIC2016
Karimi Z,2017,INFLUENCE SOIL STRUC
Karimi Zana,2015,IFCEE 2015. International Foundations Congress and Equipment Expo 2015. Proceedings
Karion A.,2019,Atmospheric Chemistry and Physics
Karl TR,2009,GLOBAL CLIMATE CHANG
Karlstrom K.E.,2004,GEOLOGY NEW MEXICO G
Karnland O.,2009,TR0929 SKB
KarpBoss L,1996,OCEANOGR MAR BIOL
KARRER F,1877,KAISERLICH KONIGLICH
KARRER F.,1865,NOVARA EXPED GEOLO 1
Karrer F.,1868,SITZUNGSBERICHTE KAI
KARRER F. W.,1878,FRAGMENTE GEOLOGIE I
Karypis G.,2009,METIS UNSTRUCTURED G
Kasai K,2011,J STRUCT CONSTR ENG
KASHCHIEV D,2000,NUCL BASIC THEORY AP
KASHIK SA,1994,B CENT RECH EXPL
Kasischke E.S.,2014,CONCISE EXPT PLAN AR
Kaspari S,2009,J CLIMATOL
Kass RE,1996,J AM STAT ASSOC
Kass RE,1996,J AM STAT ASSOC
Kastelec D,2002,DEV STAT
Katona MG,1977,R856 US DEF NUCL AG
Katsura S,2014,2014 OC SCI M 23 28
Katsura T.,1989,Journal of Geophysical Research B
Kattelmann R.,1997,IAHS PUBL
Kattenhorn S.,2009,EUROPA
KATZ ME,1993,P OC DRILL PROGR SCI
Katz N.Y.,1971,BOLOTA ZEMNOGO SHARA
KATZ RW,1977,J APPL METEOROL
KAUAHIKAUA J,1981,811044 US GEOL SURV
KAUAHIKAUA J,1980,GEOTHERM RES COUNC T
KAUFFMAN LH,1990,T AM MATH SOC
KAUFFMAN LH,1987,TOPOLOGY
Kaufman D. S.,2011,2011 FALL M AGU SAN
Kaufman L.,1987,Statistical Data Analysis Based on the L1-Norm and Related Methods. First International Conference
Kaufmann MR,1982,RM238 USDA FOR SERV
Kauth R.J.,1976,P S MACH PROC REM SE
Kawai H.,2012,CAS JSC WGNE RES ACT
Kawamura K,2004,GEO SOC S P
KAY JL,1934,ANN CARNEGIE MUS
KAY JL,1957,INT ASS PETR GEOL AN
Kay SM,1994,GEOLOGY ALASKA BOU G
KBS-3,1983,FIN STOR SPENT NUCL
KDNR (Karuk Tribe Department of Natural Resources),2006,E ISH PISH ROAD DEC
KDNR (Karuk Tribe Department of Natural Resources),2010,EC RES MAN PLAN
KDNR (Karuk Tribe Department of Natural Resources),1991,FIN REP KAR TRIB HAR
KDNR (Karuk Tribe Department of Natural Resources),1995,KAR TRIB MOD MAIN ST
KDNR (Karuk Tribe Department of Natural Resources),1996,KAR TRIB MOD MAIN ST
KDNR (Karuk Tribe Department of Natural Resources),1997,WAT TEMP MON KLAM RI
Ke L.,2014,HYDROL PROCESS
KEARNEY MS,1991,J COASTAL RES
KEAST ALLEN,1961,BULL MUS COMP ZOOL HARVARD UNIV
KEAST JA,1981,ECOLOGICAL BIOGEOGRA
Kebede S.,2013,GROUNDWATER ETHIOPIA
Keefer D.,1983,126 US GEOL SURV
Keeley J. E.,2016,FIRE CALIFO IN PRESS
Keeley J. E.,2016,INT J WILDL IN PRESS
Keeley JE,2016,ECOSYSTEMS OF CALIFORNIA
Keeling C.D.,1993,CARBON DIOXIDE INTER
Keeling C.D.,1993,GLOBAL TROPOSPHERIC
KEELING CD,1960,Journal of Geophysical Research
Keenan T. F.,2014,ECOL APPL
Kegel J,2016,GCAGS T
Kehoe B,2003,SEM SEISM DES PERF R
KEIL K,1962,CHEM ERDE-GEOCHEM
KEILISBOROK VI,1957,ANN GEOFIS
KEINATH TM,1977,J ENV ENG DIV-ASCE
KEINATH TM,1985,J WATER POLLUT CON F
Kelemen PB,1998,GEOPH MONOG SERIES
Keller A. A.,1997,INT J ROCK MECH MIN
Keller G.,1974,DEEP SEA SEDIMENTS P
Keller G.V.,1996,ELECT METHODS GEOPHY
Keller L. M.,1996,ANTARCTIC AUTOMATIC
Keller L. M.,1997,ANTARCTIC AUTOMATIC
Keller L. P.,2011,LUNAR PLANET SCI
Keller L. P.,2012,LUNAR PLANET SCI
Keller L.P.,1992,LUNAR PLANET SCI
Kelley C.,1999,FRONTIERS APPL MATH
Kelley M.,2003,THESIS
Kelley Maurice,1973,NEW JOURNALISM ANTHO
Kelley N. D.,2011,NRELTP500052353
Kelley S.A.,2004,NEW MEXICO BUREAU GE
KELLEY SA,2001,[No title captured]
Kellner AWA,2004,B AM MUS NAT HIST
Kellogg K.S.,2000,US GEOLOGICAL SOC GE
Kelly A. E.,2012,ORGANIC GEOCHEMISTRY
Kelly KD,2004,ECON GEOL
KELLY M,1980,[No title captured]
KELLY M,1992,RAPPORT GRONLANDS GE
Kelly M.,2016,BIODIVERS INFORM
Kelly M.,1974,GRONL GEOL UNDERS RA
Kelly R.,2013,NDX120015A JAP AER E
Kelly R. E. J.,2009,J REMOTE SENSING SOC
Kelly R.N.,2006,AAPS PHARMSCITECH
Kelly T.S.,1988,TERTIARY TECTONICS S
Kelly Thomas S.,1995,Contributions in Science (Los Angeles)
KELSON K,2001,EARTHQ SPECTRA
Kelting DL,2010,J AQUAT PLANT MANAGE
Kemp A.,2012,VM GOLDSCHM C MONTR
Kemp BM,2010,HUMAN VARIATION AM I
Kempe S,1979,GLOBAL CARBON CYCLE
Kendall C.,1998,ISOTOPE TRACERS CATC
Kendall M.G.,1955,RANK CORRELATION MET
Kendall M.G.,1975,RANK CORRELATION MET
Kendrick J.W.,2000,DEEP WAT RES WORLD G
Kenkyusho K,1995,SUPERFLUSH 3D
Kennedy J.J.,2010,Bulletin of the American Meteorological Society
Kennett B,2009,SEISMIC WAVE PROPAGATION IN STRATIFIED MEDIA
Kennett J.P.,1983,NEOGENE PLANKTONIC F
Kennett J.P.,1983,NEOGENE PLANKTONIC F
Kennish MJ,2001,J COASTAL RES
KENT B,1994,[No title captured]
KENTCORSON ML,2008,EOS T AGU S
Kenward A.,2013,SEWAGE OVERFLOWS HUR
KENYON B,1995,OILFIELD REV
Keren R.,1984,SOIL SALINITY IRRIGA
Kern H.,1991,SCI DRILLING
KERP H,1985,MAINZER GEOWISS MITT
KERP H,1985,MAINZER GEOWISS MITT
Kerp H,2007,POLLICHIA SONDERVERO
KERP H,1988,Z GEOL WISSENSCHAFT
Kerr A.,2011,111 NEWF LAB DEP NAT
Kerr AC,1997,J PETROL
Kerr LA,2005,FISH B-NOAA
KERRY A,1988,J PHYCOL
Kershaw A. P.,2005,Tropical rainforests: past
KERSHAW AP,2007,ENCY QUATERNARY SCI
KERSHAW AP,2002,FLAMMABLE AUSTR FIRE
KERSHAW AP,1994,HIST AUSTR VEGETATIO
Kerstel E. R. T.,2004,HDB STABLE ISOTOPE A
Kessel R.L.,2003,ANN GEOPHYS
Kevlahan NKR,2000,16 IMACS WORLD C 200
Kewn S,2000,BRIT J CLIN PHARMACO
KEY CH,2006,RMRSGTR164CD USDA FO
Key J.,CLOUD SURFACE PARAME,
Key Perspectives Ltd,2010,DAT DIM DISC DIFF RE
